address,allocation
0x9ca99A0ECA91F87405f74aF2530E15c66d9b86F7,4800000
,0
0x552B76F29F0b6f5bdDC2e5AD6c0256Bf5A7b5406,20700000
,0
0x1787A94AfdeC95F864e78117d10ec2553D803242,1875000
,0
0x3Ea889a302210fa365b1C4E5A698d0b300E8C5af,273600
0xf44f002D6826FF0b123C1D3d4183525648b49e3a,750000
,0
,0
,0
,0
,0
,0
,0
,0
,0
0x7742aeb560006abc683b1e79d92f5ad4757ab35c,1500000
,0
,0
,0
,0
,0
,1125000
,0
0x445ADf0B8FCCc4FE634488B3A47360c105F8bF1e,115500
,0
0x00b4b949C1A0a5Cd31848A0769CB082e382e6351,237500
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
0x9C5dDEe8862DA24528AcC2BD6A585f669132518f,1012500
0x90144dC24F00E7d8cdfeD1C8fa479c4Ce88cF0fe,96705
,0
,0
,0
,0
,0
,0
,0
,0
0xd93a8706fac801Cbc7e03025c082E6484accBbae,126000
,0
,0
,0
,0
0xC307652490D1C684F5845c414Bf02af71d71386a,33750
,0
,0
,0
,0
,0
0xC1D3102da913aD0ddEeC105c1eD69E569E7Ad41A,108000
,0
,0
0xc71a9b7b775ca12d92a4ffcceaf04b1d62aab7bc,28125
,0
,0
0x5c6D7a5FD47762F34e31C1705b24e4656aDbb996,5456250
,0
,0
0x052207609036CbD09B051650A9CdaC8564E5E0FA,365400
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
0x662a80DD9B873913CFdeEF75F771159A6782F3D8,450000
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,
,0
,0
,0
,0
,0
,0
,
,
,
